Player,ID,Team,Opponent,Round,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Brownlow,Contested Possessions,Uncontested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Goal Assists,% Time Played,Year
Devon Smith,12029,ES,FR,1,9,2,6,15,1,1,0,5,1,3,2,2,1,1,0,8,8,0,0,1,1,1,81,2020
Will Snelling,12484,ES,FR,1,4,4,13,17,1,0,0,4,0,1,0,1,0,0,0,4,13,0,0,1,0,0,80,2020
Jake Stringer,12167,ES,FR,1,9,5,0,9,2,3,0,4,0,5,1,2,0,0,0,3,6,0,2,1,0,0,85,2020
Jacob Townsend,12023,ES,FR,1,4,3,5,9,3,0,0,3,0,0,0,1,2,1,0,7,3,3,3,0,0,1,77,2020
David Zaharakis,11729,ES,FR,1,9,5,8,17,0,0,0,1,1,3,1,3,0,0,0,3,15,0,0,1,1,0,80,2020
Brandon Zerk-Thatcher,12757,ES,FR,1,7,3,5,12,0,0,0,0,1,0,0,1,0,0,0,1,10,0,0,4,0,0,91,2020
James Aish,12250,FR,ES,1,8,2,4,12,0,0,0,1,2,4,0,0,1,0,0,1,12,0,0,3,0,1,87,2020
Bailey Banfield,12588,FR,ES,1,5,3,7,12,0,0,0,2,0,2,2,2,0,0,0,6,6,0,0,1,0,0,81,2020
Brett Bewley,12731,FR,ES,1,16,8,4,20,0,0,0,2,7,1,0,2,1,0,0,4,16,0,0,0,0,0,85,2020
Andrew Brayshaw,12589,FR,ES,1,7,1,7,14,0,2,0,1,1,0,3,0,0,0,0,7,9,0,0,3,0,0,65,2020
Adam Cerra,12603,FR,ES,1,4,4,11,15,0,1,0,1,0,2,2,3,1,3,0,3,12,0,0,2,0,0,73,2020
Travis Colyer,11821,FR,ES,1,10,4,3,13,1,2,0,1,0,2,0,1,0,0,0,4,9,0,2,0,0,0,80,2020
Reece Conca,11888,FR,ES,1,10,4,5,15,0,0,0,4,4,0,1,2,0,0,0,6,10,0,0,1,0,0,86,2020
Brennan Cox,12544,FR,ES,1,6,3,4,10,0,0,0,1,2,1,0,4,1,3,0,2,9,1,0,4,0,0,81,2020
Mitch Crowden,12604,FR,ES,1,7,2,3,10,0,0,0,2,1,3,1,4,1,3,0,3,6,0,0,0,0,1,56,2020
Sean Darcy,12547,FR,ES,1,1,2,5,6,0,0,21,0,0,0,2,2,0,2,0,6,2,1,1,5,0,0,87,2020
Taylin Duman,12615,FR,ES,1,7,5,3,10,0,0,0,3,4,0,0,2,0,0,0,4,6,0,0,5,1,0,87,2020
Nat Fyfe,11834,FR,ES,1,10,4,16,26,0,0,0,4,2,1,1,4,2,1,0,10,14,1,0,6,0,0,95,2020
Ethan Hughes,12395,FR,ES,1,5,3,2,7,0,0,0,0,1,0,0,0,0,0,0,2,5,0,0,1,0,0,73,2020
