Player,Team,Round 0,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Total Votes
MARCUS BONTEMPELLI,WB,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,1,0,3,0,11
JASON HORNE-FRANCIS,PA,0,0,0,0,3,1,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,11
ZACH MERRETT,ES,0,0,0,3,0,3,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,10
ROWAN MARSHALL,SK,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,9
DYLAN MOORE,HW,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,9
TOBY GREENE,GW,0,1,0,0,2,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
JACK MACRAE,SK,0,0,2,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9
KYSAIAH PICKETT,ME,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,9
JAKE SOLIGO,AD,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9
JACK GUNSTON,HW,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,0,8
LUKE DAVIES-UNIACKE,NM,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,1,0,0,0,0,0,0,8
AARON NAUGHTON,WB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,3,8
JACK SINCLAIR,SK,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,8
NIC MARTIN,ES,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,8
SAM DARCY,WB,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,2,8
ERROL GULDEN,SY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,1,1,8
SAM WALSH,CA,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7
DAYNE ZORKO,BL,0,0,0,2,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,7
